filename,pdf_path,pdf_type,input_tokens,output_tokens,api_latency,total_cost,accuracy
3186_png.rf.2b0c5bd536501aadb54a8edd741b3a71,input/pdfs/3186_png.rf.2b0c5bd536501aadb54a8edd741b3a71.pdf,scanned,312,700,10.372648000717165,0.0003112,0.929411768913269
4230_png.rf.047652382ca23903999d0e305059175b,input/pdfs/4230_png.rf.047652382ca23903999d0e305059175b.pdf,scanned,312,1358,13.928301811218262,0.0005744,0.9894958138465881
7846_png.rf.9ccca16f72e3f7e984e805e18ab36280,input/pdfs/7846_png.rf.9ccca16f72e3f7e984e805e18ab36280.pdf,scanned,312,429,8.370904207229614,0.0002028,0.9692023396492004
8492_png.rf.b9f6531f8fc7096a4dcff98b14b96c11,input/pdfs/8492_png.rf.b9f6531f8fc7096a4dcff98b14b96c11.pdf,scanned,312,258,7.581454992294312,0.0001344,0.9466666579246521
10163_png.rf.fc33d1d1087f08d8c9fe0ae56fb42b52,input/pdfs/10163_png.rf.fc33d1d1087f08d8c9fe0ae56fb42b52.pdf,scanned,312,1561,14.593991041183472,0.0006556,0.9554006457328796
19825_png.rf.d55b2abc96939bd257b1ebbebc855ebf,input/pdfs/19825_png.rf.d55b2abc96939bd257b1ebbebc855ebf.pdf,scanned,312,610,9.001640319824219,0.0002751999999999,0.99379962682724
8913_png.rf.5ee168233db8af3873820f99199ee2df,input/pdfs/8913_png.rf.5ee168233db8af3873820f99199ee2df.pdf,scanned,312,2218,19.46281886100769,0.0009184,0.8260263204574585
33932_png.rf.fddcb8ac1ac0c922ddfd2adb4a21f355,input/pdfs/33932_png.rf.fddcb8ac1ac0c922ddfd2adb4a21f355.pdf,scanned,312,1132,12.359116077423096,0.000484,0.7959876656532288
8286_png.rf.1df5cf83ce6fe0d16849c2fdce2ff46d,input/pdfs/8286_png.rf.1df5cf83ce6fe0d16849c2fdce2ff46d.pdf,scanned,312,342,8.285351037979126,0.000168,0.6986978650093079
48054_png.rf.1eedccf3fe12b10e19faf66183b89827,input/pdfs/48054_png.rf.1eedccf3fe12b10e19faf66183b89827.pdf,scanned,312,940,13.068949937820436,0.0004072,0.8846492171287537
